가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
신전떡볶이 방배점,분식,,영업 중,4.52,999+,마라로제 첫도전이었는데 국물에 튀김과 순대 찍어먹으니 맛도리네요,매운떡볶이중에 신전떡볶이가 제일 맛있어요 ! 치즈떡볶이는 처음 먹어봤는데 맛있네용!,신전떡볶이 너무 맛있어요 오징어튀김도 꼭 먹어요 굵은 당면 넣어서 먹으면 더 좋아요
이고집쭈꾸미 이수점,주꾸미요리,,영업 종료,4.47,999+,백김치와 마카로니샐러드를 곁들여 먹어도 잘어울려요! 마지막 치즈추가한 볶음밥까지 잘먹었습니다,급 쭈삼겹 땡겨서 친구 추천 받아서 왔어요! 넘 맛있고 우동사리 꼭 추가해서 드세요!,삼겹쭈꾸미 주문해서 먹었는데 딱 적당히 맵고 감칠맛 나서 너무너무 맛있어요!
스타벅스 이수역점,카페,,영업 종료,4.47,999+,커피는 늘 맛있어서 이번에는 초콜렛을 사보았어요 다크와 밀크 두 종류가 있더라구요 ^^,"1+1 행사 디카페인 플랫화이트 , 돌체라테 마셨습니다 플랫화이트 아주 맛있어요",최애 더 촉촉 초콜릿 생크림 케이크입니다 스테디셀러엔 이유가 있죠 초코덕후는 초코시트라 행복해요
삼백돈 돈가츠 이수점,돈가스,,영업 종료,4.46,999+,고기가 부드럽고 돈가스 소스 맛있어요. 카레와 우동도 시켰는데 맛있어요!,항상 맛있게 먹고 있습니다. 여름이라 소바가 더 맛있네요.,돈카츠 좋아해서 찾아보다 방문했는데 구성도 너무 좋고 완전 제 스타일이에요 앞으로 종종 방문하려구요 ㅎㅎ
부엌쟁이,한식,,영업 종료,4.42,999+,"순두부, 밥, 면을 한 번에. 육개장 내용물도 푸짐해서 좋아요.",간판잘안보여서 있는지도 몰랐는데 생각보다 숨겨진 맛집이내요 음식은 감자전 맛잇네여 막걸리랑 좋습니다,여름 콩국수개시! 찐하고 얼음같아서 션하고 맛있어요!
쟝블랑제리 이수직영점,베이커리,,영업 종료,4.41,999+,새해케이크는 장블랑제리에서 생크림 맛있어요^^,쟝블랑제리에서는 맘모스빵이 제일 가성비 좋은 듯,저녁 7시 30분 타임 맘모스빵 구매하려고 30분 전부터 대기 탔습니다 한 번쯤 꼭 가볼만 합니다
정원분식,종합분식,,영업 종료,4.37,999+,유튜버 쯔양의 분식집! 음식도 맛있고 매장도 넓어서 좋았어요,짬뽕떡볶이 먹으려다 곱창대창떡볶이로 바꿨는데 잘한 선택이었어요! 배부르다하면서도 둘이서 싹 비웠네요.,곱대창 떡볶이 소스 맛있고 로제도 무난해요 한번쯤 가볼만한 곳 두번은 글쎄요
애플하우스,떡볶이,,영업 종료,4.34,999+,애플하우스 즉석떡볶이와 무침군만두 ^^ 넘 맛있어요.,포장해서 먹었어요. 즉떡이랑 무침만두. 둘다 너무 맛있네요. 왕 추천합니다,공간이 넓고 시원해요. 즉떡 좋아하시는분은 푸짐하게 드실꺼예요. 라면 당면사리까지있어 양 많아요.
설빙 이수역점,빙수,,영업 중,4.32,999+,친구들이랑 집들이 할때 먹으랴고 디저트로 망고빙수 사갓어요! 매장은 넘나 시장통이라 놀랫는디 ㅋㅋㅋㅋ,오랫만에 인절미 팥빙수 먹었어요. 양이 푸짐해서 셋이 나눠먹어도 될 정도 입니다.,더운 여름날 설빙에서 시원한 빙수 한그릇하세요. 오랫만에 방문해서 먹었는데 여전히 맛있네요!
홍콩반점0410 이수역점,중식당,,영업 종료,4.32,999+,"계란 이쁘게 올려주시네 볶음밥이 아니라 안먹었는데, 계란 실허네 ㅋㅋ",엄청 맛있게 잘 먹었어요 고기짜장 메뉴 자체가 매력적인 것 같아요! 번창하세요,할인이벤트해서 올만에가서 먹었네요. 주로 짬뽕만 먹었는데 짜장면도 맛있네요.
세녹,홍차전문점,,영업 중,4.28,999+,나시고랭 맛있습니다 그리고 매장은 정말 넓습니다 여러명에서 친목활동 하기 좋아요,맛있어요! 밥먹고 바로 커피타임까지 같이 할 수 있어서 좋아요,죠리퐁프라페랑 리얼딸기 주문! 완전 맛있어요 ㅎㅎㅎ 메뉴가 다양해서 올때마다 다른거로 시켜먹고있어요
롯데리아 이수역점,햄버거,,24시간 영업,4.27,999+,급할 때 햄버거가 편하죠! 간만에 먹으니 만족도 굿입니다!,햄버거 집에포장해서가지고와서 양상추 더넣어먹으면 짱맛,언니랑 따뜻한 캐모마일 티 한잔하면서 긴대화를나눠서 좋았어요 ^^
육대장 푸줏간 이수역점,"찌개,전골",,영업 종료,4.24,999+,이수역 우대갈비 맛집 육대장 푸줏간 이수역점에서 볏짚향 가득한 우대갈비 맛보고 왔어요!,육개장 전문점으로만 알았던 육대장에 우대갈비라니! 벌써 소문이 났는지 다들 우대갈비 드시더라구요 ㅎㅎ,저녁에는 삼겹살을 먹고 점심에눈 육개장을 먹는 곳입니다 음식도 깔끔하고 맛있습니다
이수곱창,"곱창,막창,양",,영업 중,4.23,999+,"다른곳엔 없는 콘치즈와 계란찜, 라면이 있어서 술 한잔 더 들어가기 좋았고 볶음밥이 너무 맛있어요",또 들러 소 특수부위와 주류를 두루 즐기고 싶은 이수 곱창 맛집이었다.,21년 된 이수곱창맛집 이수곱창에 또 왔습니다! 작년 20주년때 한번 왔었는데 너무 맛있어서 또 왔어요.
어사출또 이수역점,생선회,,영업 중,4.22,999+,회가 싱싱하고 맛있음 매운탕까지 클리어 물가가 오르긴 했나봐용,겨울에만 먹을수있는 석화 가격도 넘 저렴하고 맛있어요 또올게용,서울에서 이렇게 싱싱한 산고등어를 먹을수 있다니! 술한잔하기 정말 괜찮은거 같아요!
원조추어탕,추어탕,,영업 종료,4.21,999+,추어탕 어죽 맛집입니다. 포장해서 집에서 먹어도 맛나요,성시경 맛집으로 이제이젠 식사시간에 줄서서 먹어요 솥밥이 진짜 맛있어요!,서울에서 아마도 어죽이 제일 맛있는 곳 중 하나에요. 바삭한 추어군만두도 곁들이면 좋아요.
후라토식당 이수역점,일식당,,영업 종료,,999+,직원분들도 친절하고 깔끔하고 좋았습니다. 규카츠야 항상 특별한 느낌이라 맛있었네요,규카츠하면 후라토식당인 것 같아요! 너무너무 맛있고 깔끔해서 종종 들리곤하는데 오늘 유독 맛있었습니다,이수역 맛집 규카츠 너무 맛있어요 이수역에 규카츠 맛집있어서 좋아요
족발팩토리 이수역점,"족발,보쌈",,영업 중,,999+,족발을 이렇게 화려하게 다양한 맛으로 먹을 수있다니 괜히 플레터가 아니에요,족발팩토리 모임겸 방문했습니다 족발은 매우 부드럽고 수육도 맛있어요 또 오겠습니다!,이수역 족발 맛집이래서 갔는데 후라이드 족발 무슨 일? 진짜 신세계네요. 단골하고 싶은 술집입니다!
쁘띠우스 베이커리,베이커리,,영업 종료,,999+,"음료도 맛있고 넓고 편안해요. 디저트도 많고 식사 가능한 샌드위치, 샐러드도 있어 좋네요.",저 정말 샌드위치에 진심인 사람이라 삼시세끼 샌드위치 먹거든요 . 근데 쁘띠우스 샌드위치는 진짜 찐이에요,세라노포카치아샌드위치에 우유예요 신선하고 맛있어요 프랑스빵집에 온 거 같아요
원조 쯔왕돈까스,돈가스,,영업 종료,,999+,맛있고 일단 큽니다^^ 역시 쯔왕돈까스 답습니다!,1년만에 재방문했어요. 평일 오후 대기1팀있어서 금방 입장했어요. 도톰하고 부드러운 함박 맛잇어요 !,돈까스 남겼음 많기도하고 물리기도하고 김치볶음밥에 돈까스를 반찬으로 먹으면 괜찮음 ^^
백소정 이수역점,일식당,,영업 종료,,999+,오랜만에 메밀소바랑 돈카츠 먹으러 왔는데 무난하게 한끼 할 수 있었어요 가격에 비해 양도 많이 있어요,또 왔어요 너무 맛있고 깔끔해서 덮밥이랑 소바 먹고싶을 때 항상 오게되네요,"시원한 메밀소바와 바삭한 돈가스, 쾌적한 매장에 세심한 서비스까지 모두 만족했습니다!"
용용선생 이수점,요리주점,,영업 중,,999+,"시킨 메뉴가 다 맛있었습니다! 특히 깐풍닭튀김, 꿔바로우 같은 튀김류가 정말 맛있어요!",분위기 좋고 친절해요. 유린기 굿. 치맥하고싶을 때 오고 싶은 곳.,어향가지 또 생각나고 분위기도 홍콩 같고 좋습니다 ㅎㅎ
야끼니꾸 소량 이수점,"육류,고기요리",,영업 중,,999+,여러가지 고기를 조금씩 골라 먹을수 있어서 너무 좋아요 맛도 있고 분위기도 좋아요 재방문의사 있어요,맛없는고 하나 없는 야끼니꾸집 고기 다양하게 나와서 골라먹는 재미에 하이볼도 저렴해서 완전 좋앗어용,동네 2n년차 살았는데 신박한 맛집 생겨서 너무 좋아요! 이수역 야끼니꾸+기린 생맥주 맛집이라니!
유미카츠 이수방배점,돈가스,,영업 종료,,999+,지나가기만 하다 돈가스 생각나 들러봤어요 ㅎ 무난하고 맛있어요. 밥도 많이 주시고 추가 반찬.,오늘은 쫄면을 처음시켰는대 역시나 맛나게 먹었어요^^,"떡볶이도 좋아하고, 돈까스도 진짜 좋아하는데 두메뉴를 다 먹을 수 있어서 진짜 좋았어요!"
남산터 이수점,"찌개,전골",,24시간 영업,,999+,"부대찌개종류도많고,양도많아요.약간 매운듯했지만 초등아이가 못먹을정도는 아니예요.",해장하려고 먹었는데 맛있어요! 햄도 많고 고기도 많음 약간 김치찌개와 부대찌개 중간의 맛?,양도많고 맛있어요 곱창 추가했어요!ㅋㅋ ㅋ서비스 오믈렛도 굳
남성집,한식,,영업 중,4.01,975,"순대없는 순대국 10,000원 무난한 맛입니다.",오래전부터 다니던 집입니다. 술국에 소주 한잔. 기분 좋은 일과 마무리입니다.,순대없는 순댓국 좋아합니다!
문쥬스,양식,,영업 종료,,953,조금 가격대가 있기있긴 한데 서울 물가로 치면 괜찮은 편이에요 피자의 바질페스토가 진하고 맛있었어요,피자도 파스타도 맛있어요! 레몬파스타는 처음 먹어보는데 특이하면서도 매력적인 중독성 있는 맛이에요.,건포도가 소스에 이러케 잘어울릴.? 초리조파스타에 구운레몬 보고 사장님이 맛잘알이시구나 싶었습니다.
곱분이곱창 이수점,"곱창,막창,양",,영업 중,,946,알곱창이랑 야채곱창 그리고 주먹밥 먹었는데 일단 너무너무 맛있어요 ! 이수역 찐맛 곱창집을 찾았네요:),곱창 막창 삼겹 모듬 너무 맛있어요 ! 떡 들어가는 거 짱 하이볼도 다 너무너무 맛있어요,역시 곱분이 최고입니다. 직화구이는 정말쫄깃하고 고소합니다 직원분들도 친절하고. 정말 기분좋게 다녀갑니다
현고대닭발 사당점,닭발,,영업 중,4.56,944,개인적으로 닭발집 탑! 달지 않고 마늘+생강향 낭낭한 취향저격인 맛이에요,내 닭발인생 5년. 드디어 닭발 맛집을. 소주. 3명깜,제 최애란 말 밖에! 안 매운 맛도 맛이 비슷하니 그냥 기본으로 드세용 진짜 맛있어요
치키차카초코 사당이수점,"카페,디저트",,영업 중,,851,"코르네파이 세트 주문했는데 오리지널, 초코, 커스터드, 그린티, 딸기요거트 5가지 맛으로 구성되어 있어요!","냉동실에 쟁여두고 아이스아메리카노와 함께 먹으니 꿀조합입니다 코르네파이는 새로웠는데요,",정말 달달하고 바삭한 엄마손파이에 크림이 양껏 들어간 디저트에요!
방배반점,중식당,,영업 종료,4.54,849,이번에 처음 중식 냉면 먹었는데! 해산물 해파리랑 해삼새우 등 너무 싱싱해요 . 오늘도 잘먹었어요,"자주 가는 맛집이고, 포장도 자주 하는 곳이에요. 짬뽕, 짜장면, 탕수육 다 맛있습니다",이삿날에 짜장면 먹으러 방문했어용 짜장면도 탕슉도 너무 맛있어요 매장도 깔끔해서 구웃
산쪼메 이수점,일본식라면,,영업 종료,4.4,821,산쪼메라면과 가라아게 먹었는데 라멘 육수가 진하고 맛있어요 가라아게도 바삭하고 따뜻하고 정말 맛있어요.,이수역 올때마다 산쪼메는 꼭 들러요 가라아게랑 교자도 진짜 맛있어요 강추합니다,라멘이랑 미니 덮밥 먹을 수 있는 세트 메뉴가 있어서 시켜서 먹었어요 쇼유라멘 깔끔하게 맛있더라고요!
주부리,종합분식,,영업 종료,4.44,785,야채김밥 가격도 착하고 맛있음 9시부터 정상영업이라는데 더 일찍 오픈이면 회사에 도시락으로 사가고 싶은 맘,참치김밥 유명하다고 해서 들렀는데 참치가 정말 실하고 맛있어요.,"동네 분식 맛집입니다 저는 주로 밀떡볶이, 오징어튀김, 야채김밥을 먹습니다:)"
오리에오리에오리에,브런치,,오늘 휴무,4.57,765,너무 애정하는 브런치 맛집이에요 . 일단 바게트가 너무 맛있어요. 버터가 킥이에요 단골하겠습니다 .,샌드위치가 정말 맛있어요. 빵이 맛있어서 그런가 ㅎㅎ 직원분들도 친절하시구 공간도 예뻐요!,내방역 샌드위치 가게 추천합니다! 바게트가 맛있다 해서 찾아왔어요! 하지만 전 맛있게 먹었어요!
도버빌리지,양식,,영업 종료,,761,커피가 너무 맛있구 영국식 느낌으로 인테리가 독특해요. 일부러. 다시 찾아갈만큼 아껴두는 장소입니다.,건강하고 맛있게 잘먹었어요. 특히 파스타 진짜 맛있엇어요 다음에는 스프도 시켜먹고싶어요!,동네에 이런곳이 있어서 너무 좋았어요 영국식 브런치는 처음이엇는데 소시지나 스프가 진짜 맛있었어요
고추찜닭 본점,찜닭,,영업 중,4.35,752,이수에서 찜닭 단일메뉴로 오래된 곳이에요. 노부부가 운영하시는데 느리셔도 친절하세요. 건강하세요 사장님,닭한마리 둘이먹기엔 양이많아요. 사리추가없이도 둘이먹기엔 충분한양이네요. 맛있어요.,친절하고 맛있어요 중간맛이지만 적당하게 매콤하고 좋아요 오래된 찜닭 맛집.
달길포차,포장마차,,영업 중,4.34,751,제육김치전골 진짜 핵 맛있어요 낮에는 백반 맛집이라더니 밑반찬도 꿀맛입니당 담에는 제육두부 먹으러 갈께욧,김치제육전골 메뉴.양 진짜 많이 주세요. 재료들이 신선하고 실하고 정말 맛있게 먹었습니다.,양이 미쳤다 김치전골에 온갖 재료들 다 있고 가격은 엄청 저렴! 당장 가세요 착한 모범 가게^^*
냅다청양집 이수점,돼지고기구이,,영업 중,,737,고기도 괜찮고 매콤한 불오징어가 별미에요 다음엔 쫄면도 먹어보고싶어요.,동네에 처음생겨서 와봄! 고기도 완전맛있고 직원분들 너무친절 잘먹고갑니다!,급 고기가 먹고싶어서 혼자 갔는데 친절히 응대해주셔서 좋았어요!
공돈,"육류,고기요리",,영업 중,,735,"너무 맛있어서 재방문했어요 :) 고기 질은 물론이고 기본 밑반찬, 냉면 하나하나에 진심이 들어가있어요 ㅎㅎ",고기 질이 넘 좋고 넘 맛있어요! 반찬도 넘 깔끔하게 잘 나오고 샐러드가 존맛이라 3번 먹었네요 ㅎㅎ,매일 지나가기만 하다가 새로 생긴 고기집같아서 방문했어요! 담에 칭구랑 또 방문 예정입니다
견인지역,"맥주,호프",,영업 중,4.84,712,삼겹튀김이라니. 사장님 너무 배우신 분이쟈냐여!?! 또 갈게여 사장님,안주가 가성비가 최고최곱니다! 튀김 삼겹살 진짜 묘하게 맛나네요 ㅋㅋㅋ 여기는 무조건 또 올 것 같아요!,닭발이 불맛도 많이나고 맛있었습니다 분위기도 좋고 커플 친구들 추천이요!
리요리요커피,"카페,디저트",,영업 종료,4.95,692,리요리요커피 -이수역- 데이트하기좋은 카페! 리요리요커피입니다ㅎㅎ,분위기있고 커피맛도 최고.담에 케잌 구매 의사 만프로,리요리요커피 갈때마다 분위기도 좋고 치즈케이크 너무 맛있음
이수쭈꾸미 본점,주꾸미요리,,영업 중,,681,친구들 추천으로 연말 모임 겸 오게됐는데 볶음밥까지 너무 맛있게 잘 먹었습니당! 다음에 또 올게요 :),쭈삼 추천! 적당히 매콤하고 고기랑 쭈꾸미 조합이 좋아요 나중에 볶음밥까지 더하면 완벽!,쭈꾸미 삼겹살 먹었는데 쫄깃하고 맛있어요. 매운맛도 조절되서 좋아요
땡초우동 이수본점,"우동,소바",,영업 중,4.46,625,2차나 3차로 가기 딱 좋은 곳 땡초우동 꿀토마토 소떡소떡,우동이 얼큰하니 술안주로 딱이예요. 가성비도 좋아서 1차로도 2차로도 굿굿.,우동은 예술이고 땡초세트메뉴 추천합니다. 고기안주 완전 맛있고 소주가 술술 넘어가네요 추천 드려요
루키더셰프,양식,,영업 종료,4.48,613,진짜 맛있고 다락방 컨셉 좋은 것 같아용 그리고 뇨끼 꼭꼭 드세요!,뇨끼 먹고 싶어서 찾아갔는데 비주얼도 좋고 너무 맛있었어요!,뇨끼 쫀득쫀득 떡이었는데 너무 맛났어요 또 먹으러 가고싶어요 아늑하고 분위기 조아용
분분 이수역점,베트남음식,,영업 종료,,613,오늘은 반미먹으러 왔습니다. 국수도 덮밥도 모두 맛있습니다 추천해요!,여기 너무 맛있어서 재재재재재방문이에요 항상 맛 변하지않고 분짜랑 반미랑 완전 강추맛있어요,"오늘도 맛있게 먹고 갑니다. 신메뉴 버팔로윙 나와서 먹어봤는데, 간이 딱 맞아요. 추천합니다."
미고삼,"육류,고기요리",,영업 중,4.45,598,"고사리, 미나리가 고기랑 환상궁합 실컷 먹고왔어요.",맛있게 잘 먹었습니다 고기 상태가 상당히 좋아보였고 여러 반찬들과 함께 먹으니 배로 맛있었어요,또또또 재방문ㅎㅎ 고기는 항상 이집만와요 구성도알차고 질이 번창하세용
웨스트빙고,카페,,영업 종료,4.5,584,미숫가루라떼 먹었는데 존맛탱! 강력추천드립니당 그리고 아늑한 느낌이구여 대화하기 좋은거같아요,디저트는 좀 달지만 커피는 맛있었어요,들어올때부터 커피향 맡고 맛있는 집인거 눈치챘습니다. 버터바도 너무 맛있고 레몬스퀴즈 정말 상큼하네요!
가가멜식당,한식,,영업 중,4.5,581,"반찬도 너무 깔끔하게 잘나오고, 고기도 종류가 다양해서 맛있게 먹었어요 ㅎㅎ 냉삼 진짜 맛잇네요! ㅎㅎ",좋은 가격에 가성비 좋은 음식을 먹을 수 있어 좋았어요! 생맥 있는 고깃집 어디있어 !,비싼 외식물가에 냉삼150그램7.6원 가성비짱 고기 퀄러티도 괜찮아요
우탄,"육류,고기요리",,영업 중,,581,고기가 살살 녹아요ㅋㅋ 맛있고 2인세트에 식사 추가했는데 넘 배부르게 잘 먹었어요,이수에서 맛있는 고기집을 찾다가 온 가게. 와규 맛집이네요. 2인세트 둘이서 먹기 아주 좋구요.,분위기 있게 우이하게 질좋은 고기 질 먹었습니다.
미사키혼술 이수본점,일식당,,영업 중,4.32,567,가성비 좋게 코스요리를 즐길 수 있는 곳을 찾은 것 같아서 좋아요! 회도 정말 맛있었습니다.,친구랑 이수역에서 만나기로 하고 장소 정하다가 참치회 먹자고 예약하고 갔는데 와 여기 진짜 찐맛집이에요!,가성비 좋고 싱싱한 횟집 찾으신다면 바로 여기에요 진짜 맛있게 먹어서 완전 츄천!
버거307 이수점,햄버거,,영업 종료,4.53,561,햄버거 좋아하는 아이와 방문했어요 번이 달끈한게 부드럽고 맛있습니다.,"퀸즈파크의 퍼그버거에 기준 두고 있어서 , 평균적. 세트에 니오는 생맥주의 양이 개인적으로 적당하고 좋음.",작은 실수가 있었지만 잘 대처해주셨고 버거는 진짜 푸짐하게 잘 나오고 패티도 맛있어요 ㅎㅎ
호시,"초밥,롤",,영업 종료,,550,이수역 초밥집중에 제일 맛있어요,초밥 회 도톰하고 맛있어요. 생강은 따로 요청해야 함.,점심시간 방문했는데 초밥 퀄리티 넘 괜찮네용
스시세이,"초밥,롤",,영업 종료,4.6,542,전복죽.샐러드.초밥.우동.아이스크림까지 모두 맛있네요.깔끔하고 분위기도 좋았어요.,죽. 우동. 연두부 튀김이 나오고 초밥도 맛나서 좋아요 가성비 좋습니다-!,평점이 좋아서 한번 먹어봤는데 그 이후로 초밥은 여기서만 먹어요 vip초밥 추천합니다.
참오리전문점,오리요리,,영업 종료,4.45,539,슬슬 더워지는 날씨에 보양식으로 한방오리백숙은 좋은 선택이 될 것 같습니다.,"담백하고 파 듬뿍 올려진, 기본에 충실한 가성비 삼계탕 집. 오리고기로 유명한 곳이라 삼계탕도 맛있었음.","진짜 제가 먹어본 백숙 중에 제일 맛있었어요, 오리가 되게 부드럽고 국물이 그냥 보약같아요"
봉평메밀마당 이수역점,막국수,,영업 종료,4.4,523,메밀막국수와 매생이굴국밥 먹었고 만두까지. 맛나요! 깔끔해요,생굴 육개장 생굴 육칼 맛있어요! 다른 메뉴도 맛있어요,시원하게 모밀맛있었어요 양도많고요
키친아일랜드 사당방배 본점,돈가스,,영업 종료,,521,아이들과 함께 키친아일랜드에서 저녁식사 하였습니다. 등심돈까스 바삭하니 고기 부드러워요.,이수역 돈까스 맛집으로 유명하길래 돈까스 매니아 남자친구랑 다녀왔어요,"40대 남자 3명이서 등심돈까스, 새우로제파스타, 리에또를 먹었는데. 음식이 맛있고 양까지 많았어요."
사이,"카페,디저트",,영업 종료,4.59,460,사이라떼랑 크로플 진짜맛있어요! 디카페인도 변경되서 좋았어요 ㅎㅎ,혼자 방문 해서 테이크 아웃 했지만 기회되면 버터스카치라떼도 먹어보려고요,디져트도 맛있고 음료도 맛있어요! 약과쿠키 최애등극 추천이에요ㅎㅎ
로즈드메,"카페,디저트",,영업 종료,,451,일부러 찾아올 만한 맛이라 휘낭시에나 마들렌 좋아하시면 추천해요:),분위기넘이쁘고 커피 휘낭시에 다 넘맛나맛나요 휘낭시에 선물세트도 이쁘더라구용 굿굿 선물용으로도 좋아보여요,인스타에서 보고 방문했는데 휘낭시에 넘넘 예뻐요
철길부산집 이수점,요리주점,,영업 중,,436,이수술집 이수이자카야 찾으신다면 철길부산집 추천드립니다! 육회 양이 어마어마 하더라구요,2차 어디갈까 돌아다니다가 오랜만에 발견한 오뎅바라 들어왔어요!,어묵이랑 연어 넘 맛있어요 ! ! 맥주 한잔하기 좋네요
또또즐갬성술집,요리주점,,영업 중,5,421,진심을 담은 후기입니다! 정말 당산 최고의 술집이에요! 안주를 5개정도 먹었는데 다 정말 맛있었어요!,처음 가봤는데 너무 만족했습니다! 어묵탕이랑 고기 다 맛있고 양도 많아요! 하이볼도 맛있습니다,스무살때부터 3년 내도록 가고있는 술집입니다! 안주 너무 맛있고 특히 전기바베큐통구이 진짜 맛있어요
단아한정식,한정식,,영업 종료,,401,맑은 탕은 해장 생각나는 시원함! 밥을 푸고 남은 돌솥에 물 부어 만든 숭늉도 먹어줍니당!,점심특선 먹었어요 항상 먹을때마다 만족스러워요 음식 깔끔 저갈해요 한식생각날때 오는곳이에요,기본반찬도 너무맛나맛나고 보리굴비 최고메요
37.5 동작이수점,브런치,,영업 종료,,372,파스타는 정말 굿굿 추천이에영 샐러드도 채소가 아삭하니 너무 맛있게 먹었습니다,브런치셋트랑 얼큰해물파스타 넘 맛있어요 강력추천! 맛있어서 또 방문왔어요ㅎㅎ,아이랑 함께 왔는데 친절히시고 깔끔해서 좋아요 아란치니 떡볶이는 최애 메뉴랍니당 감자튀김도 맛나네요!
퍼시브 커피,"카페,디저트",,영업 종료,,363,커피맛이 야무져요. 커피맛집. 신거 꼬소한거 고를 수 있어서 좋음. 직원분들 인상도 좋고 친절함. 굿.,아메리카노도 맛있고 특히 애플시나몬티가 정말 맛있어요 오늘은 밀크티 시켰는데 밀크티도 맛있어요,디카페인 라떼와 브라질 핸드드립 마셨어요 둘 다 맛있었어요
레코드피자 이수점,피자,,영업 중,4.55,360,레코드 피자 새로 생겼다고 해서 가봤는데 지금 날씨에 가기 너무 좋아요 !,가성비 갑 너무너무 맛있어용 피자까지 진짜 잘먹었습니당!,사장님도 친절하시고 피자도 맛있고 최고였습니다! 또 가고싶네요! 회식으로도 좋을 것 같습니다!
