가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
부엌쟁이,한식,,영업 중,4.42,999+,"순두부, 밥, 면을 한 번에. 육개장 내용물도 푸짐해서 좋아요.",간판잘안보여서 있는지도 몰랐는데 생각보다 숨겨진 맛집이내요 음식은 감자전 맛잇네여 막걸리랑 좋습니다,여름 콩국수개시! 찐하고 얼음같아서 션하고 맛있어요!
럭키갈비찜,"육류,고기요리",,영업 중,4.51,304,친목 목적으로 방문한 럭키 갈비찜! 정말 맛있었어요. 매장도 너무 깔끔하고 양도 푸짐하였답니다,친구가 갈비찜이 먹고싶다해서 찾은 가게인데 너무 만족하면서 식사했습니다^^ 다음에 또 방문하겠습니다><,지나가는길에 봐뒀다가 갈비찜이 먹고 싶어서 방문했습니다. 기본 찬들도 정갈하고 맛있었습니다.
종부네,요리주점,,영업 중,,317,이수 먹자골목 자주 다니는데 여기여길 이제 와봤네요ㅎㅎ 감태김밥에 노른자찍은 육회 얹어먹으면 최고에요 종부네,전통주 마시고 싶어서 검색해서 고르고 골라 온 종부네! 쥔장님 넘 친절하셔용 ㅎㅎ! 최고에요,와 이수에 이런곳이 있었다니 진짜 대박이예요 육사시미는 퀄리티 완전 좋고 미나리랑 조합 미쳤습니다
로즈드메,"카페,디저트",,오늘 휴무,,443,일부러 찾아올 만한 맛이라 휘낭시에나 마들렌 좋아하시면 추천해요:),분위기넘이쁘고 커피 휘낭시에 다 넘맛나맛나요 휘낭시에 선물세트도 이쁘더라구용 굿굿 선물용으로도 좋아보여요,인스타에서 보고 방문했는데 휘낭시에 넘넘 예뻐요
방배반점,중식당,,영업 중,4.54,847,이번에 처음 중식 냉면 먹었는데! 해산물 해파리랑 해삼새우 등 너무 싱싱해요 . 오늘도 잘먹었어요,"자주 가는 맛집이고, 포장도 자주 하는 곳이에요. 짬뽕, 짜장면, 탕수육 다 맛있습니다",이삿날에 짜장면 먹으러 방문했어용 짜장면도 탕슉도 너무 맛있어요 매장도 깔끔해서 구웃
주부리,종합분식,,영업 중,4.44,784,야채김밥 가격도 착하고 맛있음 9시부터 정상영업이라는데 더 일찍 오픈이면 회사에 도시락으로 사가고 싶은 맘,참치김밥 유명하다고 해서 들렀는데 참치가 정말 실하고 맛있어요.,"동네 분식 맛집입니다 저는 주로 밀떡볶이, 오징어튀김, 야채김밥을 먹습니다:)"
책그리고,"카페,디저트",,영업 중,4.35,248,커피는 무난한 맛이었습니다.,널찍한 테라스에 건강식 메뉴들이 가득하네요.,"독립서적이 있고, 커피 마시면서 책구매해서 읽을수도 있어서 좋아요. 사장님도 친절하심"
가가멜식당,한식,,영업 중,4.5,579,"반찬도 너무 깔끔하게 잘나오고, 고기도 종류가 다양해서 맛있게 먹었어요 ㅎㅎ 냉삼 진짜 맛잇네요! ㅎㅎ",좋은 가격에 가성비 좋은 음식을 먹을 수 있어 좋았어요! 생맥 있는 고깃집 어디있어 !,비싼 외식물가에 냉삼150그램7.6원 가성비짱 고기 퀄러티도 괜찮아요
푸바우,중식당,,영업 중,,272,"누룽지탕과 유림기, 푸바우 볶음밥 모두 진짜 개존맛이라서 재방문의사 50000%였어요!",사당역 중식 존맛집을 이제야 찾았다니.! 진짜 너무 맛있고 음식이 깔끔해서 너무 좋았습니당!,중식주점 푸바우 분위기도 너무 좋고 안주도 너무 맛있어서 반했어용 ㅎㅎ
육대장 푸줏간 이수역점,"찌개,전골",,영업 중,4.24,999+,이수역 우대갈비 맛집 육대장 푸줏간 이수역점에서 볏짚향 가득한 우대갈비 맛보고 왔어요!,육개장 전문점으로만 알았던 육대장에 우대갈비라니! 벌써 소문이 났는지 다들 우대갈비 드시더라구요 ㅎㅎ,저녁에는 삼겹살을 먹고 점심에눈 육개장을 먹는 곳입니다 음식도 깔끔하고 맛있습니다
철길부산집 이수점,요리주점,,영업 중,,430,이수술집 이수이자카야 찾으신다면 철길부산집 추천드립니다! 육회 양이 어마어마 하더라구요,2차 어디갈까 돌아다니다가 오랜만에 발견한 오뎅바라 들어왔어요!,어묵이랑 연어 넘 맛있어요 ! ! 맥주 한잔하기 좋네요
어사출또 이수역점,생선회,,영업 중,4.22,999+,회가 싱싱하고 맛있음 매운탕까지 클리어 물가가 오르긴 했나봐용,겨울에만 먹을수있는 석화 가격도 넘 저렴하고 맛있어요 또올게용,서울에서 이렇게 싱싱한 산고등어를 먹을수 있다니! 술한잔하기 정말 괜찮은거 같아요!
원조추어탕,추어탕,,영업 중,4.21,999+,추어탕 어죽 맛집입니다. 포장해서 집에서 먹어도 맛나요,성시경 맛집으로 이제이젠 식사시간에 줄서서 먹어요 솥밥이 진짜 맛있어요!,서울에서 아마도 어죽이 제일 맛있는 곳 중 하나에요. 바삭한 추어군만두도 곁들이면 좋아요.
웨스트빙고,카페,,영업 중,4.5,582,미숫가루라떼 먹었는데 존맛탱! 강력추천드립니당 그리고 아늑한 느낌이구여 대화하기 좋은거같아요,디저트는 좀 달지만 커피는 맛있었어요,들어올때부터 커피향 맡고 맛있는 집인거 눈치챘습니다. 버터바도 너무 맛있고 레몬스퀴즈 정말 상큼하네요!
뽐므,"카페,디저트",,영업 중,,224,카페자체는 올데이브런치할 수있어서 샌드위치에 커피 주문가능해서 좋았습니다.,"너무너무 친절하시구, 나긋나긋하셔서 마음이 편안해져요 커피도 맛있고, 디저트가 진짜 맛있어요!","일요일아침 가족들과함께 브런치먹으려고 왔어요! 커피, 샌드위치, 스프 전부 맛있었어요."
소람,바(BAR),,오늘 휴무,4.74,90,마침 눈이 펑펑 쏟아졌고 조용하고 편안한 분위기에서 위스키를 마실 수 있어 행복했어요 :),동네에 이런 위스키바가 있는 줄 몰랐네요. 단골이 되어보겠습니다.,"정말 다양한 위스키를 취급하며 위스키, 칵테일에 해박한 지식을 가진 실력있는 사장님이 운영하는 바입니다."
태양커피 방배점,테이크아웃커피,,영업 종료,4.56,999+,아인슈패너의 크림이 쫀쫀하고 맛있지만 클래식한 플랫화이트도 맛있음.,태양커피 아인슈패너2번=극락행티켓! 꽤 오래마셔왔지만 늘 변치않는 맛이라 좋아요,콜드브루 보단 일반 에스프레소가 더 맛있는거 같아요
백소정 이수역점,일식당,,영업 중,,999+,오랜만에 메밀소바랑 돈카츠 먹으러 왔는데 무난하게 한끼 할 수 있었어요 가격에 비해 양도 많이 있어요,또 왔어요 너무 맛있고 깔끔해서 덮밥이랑 소바 먹고싶을 때 항상 오게되네요,"시원한 메밀소바와 바삭한 돈가스, 쾌적한 매장에 세심한 서비스까지 모두 만족했습니다!"
조가네족발왕,"족발,보쌈",,영업 중,,,족발 촉촉 쫀득 그자체입니다.사장님 진짜 친절하시고 너무 좋아요 이수역 맛집으로 추천합니닷 흥하세요!,이수 로컬 찐맛집 조가네족발왕 먹어본 족발중 젤 맛나요 잡내하나도 안나고 부들부들해요,항상 사람들로 붐비는 가게엔 이유가 있는거 같아요! 족발과 막국수 모두 맛있었습니당ㅎㅎ
미고삼,"육류,고기요리",,영업 중,4.45,594,"고사리, 미나리가 고기랑 환상궁합 실컷 먹고왔어요.",맛있게 잘 먹었습니다 고기 상태가 상당히 좋아보였고 여러 반찬들과 함께 먹으니 배로 맛있었어요,또또또 재방문ㅎㅎ 고기는 항상 이집만와요 구성도알차고 질이 번창하세용
땡초우동 이수본점,"우동,소바",,영업 중,4.46,625,2차나 3차로 가기 딱 좋은 곳 땡초우동 꿀토마토 소떡소떡,우동이 얼큰하니 술안주로 딱이예요. 가성비도 좋아서 1차로도 2차로도 굿굿.,우동은 예술이고 땡초세트메뉴 추천합니다. 고기안주 완전 맛있고 소주가 술술 넘어가네요 추천 드려요
더풍년 이수점,"해물,생선요리",,영업 중,4.65,276,"우리동네 맛집! 매번 오지만 너무 맛있고, 신선하고 분위기 좋아요 해물파전 꼭 먹어요!",완전 맛있어요 숙성회 너무 좋아하는데 탑티어에요 밥도 간이 잘되어서 초밥만들어먹기딱이에오,모둠숙성회 구성넘좋고맛있어요비빔면도맛있고 다른음식들도맛있어요 추천입니다
퍼시브 커피,"카페,디저트",,영업 중,,362,커피맛이 야무져요. 커피맛집. 신거 꼬소한거 고를 수 있어서 좋음. 직원분들 인상도 좋고 친절함. 굿.,아메리카노도 맛있고 특히 애플시나몬티가 정말 맛있어요 오늘은 밀크티 시켰는데 밀크티도 맛있어요,디카페인 라떼와 브라질 핸드드립 마셨어요 둘 다 맛있었어요
산쪼메 이수점,일본식라면,,영업 중,4.4,817,산쪼메라면과 가라아게 먹었는데 라멘 육수가 진하고 맛있어요 가라아게도 바삭하고 따뜻하고 정말 맛있어요.,이수역 올때마다 산쪼메는 꼭 들러요 가라아게랑 교자도 진짜 맛있어요 강추합니다,라멘이랑 미니 덮밥 먹을 수 있는 세트 메뉴가 있어서 시켜서 먹었어요 쇼유라멘 깔끔하게 맛있더라고요!
쟝블랑제리 이수직영점,베이커리,,영업 중,4.41,999+,새해케이크는 장블랑제리에서 생크림 맛있어요^^,쟝블랑제리에서는 맘모스빵이 제일 가성비 좋은 듯,저녁 7시 30분 타임 맘모스빵 구매하려고 30분 전부터 대기 탔습니다 한 번쯤 꼭 가볼만 합니다
치키차카초코 사당이수점,"카페,디저트",,영업 중,,842,"코르네파이 세트 주문했는데 오리지널, 초코, 커스터드, 그린티, 딸기요거트 5가지 맛으로 구성되어 있어요!","냉동실에 쟁여두고 아이스아메리카노와 함께 먹으니 꿀조합입니다 코르네파이는 새로웠는데요,",정말 달달하고 바삭한 엄마손파이에 크림이 양껏 들어간 디저트에요!
공돈,"육류,고기요리",,영업 중,,724,"너무 맛있어서 재방문했어요 :) 고기 질은 물론이고 기본 밑반찬, 냉면 하나하나에 진심이 들어가있어요 ㅎㅎ",고기 질이 넘 좋고 넘 맛있어요! 반찬도 넘 깔끔하게 잘 나오고 샐러드가 존맛이라 3번 먹었네요 ㅎㅎ,매일 지나가기만 하다가 새로 생긴 고기집같아서 방문했어요! 담에 칭구랑 또 방문 예정입니다
정원분식,종합분식,,영업 중,4.37,999+,유튜버 쯔양의 분식집! 음식도 맛있고 매장도 넓어서 좋았어요,짬뽕떡볶이 먹으려다 곱창대창떡볶이로 바꿨는데 잘한 선택이었어요! 배부르다하면서도 둘이서 싹 비웠네요.,곱대창 떡볶이 소스 맛있고 로제도 무난해요 한번쯤 가볼만한 곳 두번은 글쎄요
