가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
진희횟집,생선회,,영업 중,4.61,999+,대게 수율 기본구성.너무 좋았습니다. 픽업서비스까지되서 너무.편안한 식사자리였습니다!,점심에 가서 회덮밥이랑 물회 먹었는데 진짜 제스타일 앞으로 자주 와서 먹을게요!,저렴한 가격에 맛있는 회 잘 먹었어요 광어우럭회 먹었는데 신선하니 식감 좋고 맛있네요
유진게찜,게요리,,영업 중,4.61,999+,속처 간김에 대게 먹자! 해서 여러 후기를 찾아보다가 유진게찜으로 결정했는데 정말 맛있었습니다!,뷰가 좋은곳에서 맛난식사 너무 행복하네요 ! 반찬으로 나오는 새우와 오징어순대 맛있었어요,속초대게맛집 엄청 검색하고 방문한 유진게찜! 역시 유명한곳은 이유가 있네요
다온,"카페,디저트",,영업 중,4.6,999+,속초에서 유명한 다온카페 ! 뷰가 정말좋고 커피랑 디저트가 너무 맛있어요 다덜 와보세요,일단 뷰가 너무 예쁘고요. 파인애플 스무디 덜 달게 요청드렸는데 오히려 딱 맞고 좋았어요,설악산 기슭에 위치한 뷰맛집 스무디맛집 베이커리맛집입니다! 매장 자체가 포토존입니다 ^^
코코넛그루브,"카페,디저트",,영업 중,4.6,999+,겨울에 왔을때도 여름에 왔을때도 둘다 매력있네요 수박주스랑 스콘도 넘넘 맛있어요,맛집 검색해서 찾은 디저트 카페 코코넛 그루브예요. 작은 수영장이 있는 것도 색다른 느낌을 줍니다.,속초에 멋진 식물카페가 있다고하여 가족과 여행오면서 필수 코스로 찾아왔어요. 커피는 진하고 고소한 맛!
비치버거,햄버거,,영업 중,4.59,999+,"베이컨치즈버거, 에그베이컨버거, 감자튀김, 어니언링 주문했어요. 맛있게 잘 먹었어요!",더블치즈버거 세트와 치즈버거 너무 맛있게 먹고 갑니다. 속초 해변 가시면 꼭 한번 들러볼 만한 곳이네요.,인테리어도 바다랑 정말 잘 어울리고 버거랑 감자튀김 등 다 정말 맛있어요!
함가네 생선구이,생선구이,,영업 중,4.58,999+,맛있는 생선구이는 정말 오랜만에 먹어봐요 고등어가 이렇게 부드러울줄 청어는 정말 입에서 녹아요,속초 가족여행 중 생선구이가 먹고 싶어 나름 지역에서 유명하다는 함가네 생선구이를 방문했습니다.,찬이 정갈하고 생선구이 종류가 많아요 된장찌개도 방문자수만큼 뚝배기로 나옵니다!
금이야옥이야,"칼국수,만두",,영업 중,4.58,999+,맛있게 잘먹었습니다:) 감자전이 누룽지처럼 바삭바삭해서 맛있어요,누룽지감자전 특이하고 맛있어요 속초에 오면 재방문의사 있어요,캐치테이블로 미리 예약하고 갈 수 있어서 편하고 좋았습니다. 장칼국수 처음 먹어봤는데 맛있었어요!
동해안붉은대게,대게요리,,영업 중,4.57,999+,지인에게 추천 받아 점심으로 홍게간장게장 먹으러왔어요. 김싸먹으니 굿,속초에 놀러오면 꼭한번 들려보세요 뻔한 메뉴 물회 호 조개구이 이런거보다 확실한 선택일것입니다,홍게장은 처음인데 엄청 달큰하고 손질 다 해서 나와서 먹기에도 편해요 게장 비빔밥도 맛있어요!
주오일심야라멘,일본식라면,,영업 중,4.57,999+,"2년전에 먹었던 라멘과 교자,치킨튀김맛도 그대로여서 더 추억이 떠올랐어요 ^^",이틀연속 이집에서 라멘+맥주 먹고 있는데 내일 또 와서 먹을 것 같습니다 내일 또 오겠습니다,여자친구랑 첫 데이트 장소에요 추억도 되살릴겸 라멘이 생각나서 재방문했어요! 속초 필수 코스!
오베르망,베이커리,,영업 중,4.55,999+,오베르망 때문에 속초왔다고 해도 과언이 아닐정도로 빵도 아이스크림도 커피도 다 맛있는 집이에요.,저녁에 와서 빵이 많이 빠졌지만 그래도 종류가 많이 남았었어요. 몽블랑 강추!,통명란바게트 엄청 맛있음! 크로와상이랑 같이먹으니까 엄청 기분좋은 시간 보낼수있었어여! ㅎㅎㅎ
오복식당,"칼국수,만두",,영업 중,4.54,999+,속초 가족여행 왔는데 비오는 날 칼국수 생각나서 찾아온 맛집 보쌈부터 나와서 먹었는데 진짜 맛있네요,맛있어요! 칼국수 먹으러 왔는데 보쌈도 맛있네요 김밥도 독특하고 오징어가 들어갔어요,장칼국수 맛집이래서 왔는데 사이드로 주문한 오복김밥이 진짜 대박 맛나요
속초진짜순대,"순대,순댓국",,영업 중,4.5,999+,사장님이 너무 친절하셔요! 순대 찍어먹는 특제 소스는 정말 레시피 궁금했어요!,진짜 순대다운 순대국을 먹어봤네요 정말 맛난집 인정입니댜!,아바이순대는 처음먹어봤는데 일반 순대국이랑 다르네요.
해마루회포장,생선회,,영업 중,4.5,999+,이게 모듬 소짜인데 매운탕까지해서 3명이서 먹었고 구성은 광어 우럭 밀치였습니다,속초 가족여행에 예약주문하고 방문했어요 모두 만족하는 식사였네요. 매운탕도 맛있었구요,서더리매운탕도 맛있고 회도 두툼하고 정말 맛있어요
초당커피정미소 속초점,"카페,디저트",,영업 중,4.5,999+,갑자기 옥수수빙수가 먹고싶어서 검색 후 방문했어요 시원하게 잘 먹고 갑니당,인테리어가 예쁘고 사진이 잘나와요! 라떼종류 전부 다 진짜 맛있어요!,빙수 좋아하는 일인으로 옥수수 맛도 진하고 얼음도 사각거려 식감이 좋았습니다.
커피해요,"카페,디저트",,영업 중,4.5,999+,"뷰, 인테리어, 커피, 디저트까지 어느하나 빠지지 않는 맛집입니다! 혼자 와도 편안한 카페입니다",크림브륄레 비스코티가 정말정말 맛있고 휘낭시에는 제가 살면서 먹은것 중에 1등입니다!,진짜 너무 죄송하고 감사하고 정말 맛있습니다! 커피해요 맛도리 짱짱 커피숍! 추천합니다
몽트비어,"맥주,호프",,영업 중,4.48,999+,속초여행 중에 특별한 맥주가 있다고해서 구입했는데 잘 산거 같아 만족하고 있습니다,맥주 좋아하시는분들 꼭가세요 맛과 향 최고입니다 사장님의 맥주추천도 받아보세요,속초오면 꼭 들리는곳입니다. 맥주 정말 맛있고 다양해요! 지인들한테 매번 많이 추천합니다^^
모녀가리비,조개요리,,영업 중,4.48,999+,세상에 여태 먹었던 오징어순대는 잊혀지고 누룽지순대만 생각나게해요.,누룽지 오징어 순대 진짜 맛있어요. 엄청 바삭하게 구워서 주셔서 그런지 진짜 엄청 맛있더라고요,누룽지오징어순대가 유명해서 옴 역시는역시 왕맛있음
미가,"해물,생선요리",,영업 중,4.47,999+,정식 주문하면 황태국이 나오는데 양이 꽤 돼서 따로 황태해장국을 주문할 필요 없을 것 같아요.,더덕구이랑 황태구이 좋아해서 갔어요! 맛있네용 정식 먹었는데 국은 사골베이스였어여,2번째 방문 황태 & 더덕구이 1인분씩 주문 할 수 있어요
최옥란 할머니 순두부,두부요리,,영업 중,4.47,999+,속초여행에서 먹은 식사 중 최고로 맛있었던 최옥란 할머니 순두부 얼큰순두부랑 모두부반모 먹었어요,이럴수가 다맛있어요. 순두부도 황태해장국도 감자전도 도토리묵도 다맛있네요!깜놀!반찬도 전부맛나맛나요,"반찬도 많이 나오고, 비빔밥이랑 순두부 맛있어요"
스끼다시천국,생선회,,영업 중,4.46,999+,"스끼다시가 엄청 푸짐했던 스끼다시천국, 종류가 진짜 진짜 많았어요 활어회두 넘넘 신선하구 배터지게 먹었어요",신선한 국내산 해산물을 먹을 수 있는 속초 맛집 스끼다시천국입니당 마무리는 매운탕!,속초 놀러와서 처음으로 간 집인데 정말 기대이상으로 맛있었어요. 제 인생 횟집입니다 사장님 손맛이 미쳤어용
속초대게나라홍게마을,게요리,,영업 중,4.46,999+,스끼도 전부 맛있어요 대게 볶음밥이랑 라면까지 코스로 알차게 먹을 수 있어서 좋아요,속초에 왔으면 대게를 먹어야죠! 속초대게찜 맛집을 찾아 검색해서 온 속초 대게나라 홍게마을!,속초대게찜 찾다가 간 속초홍게나라대게마을! 대게 먹으러 갔는데 스끼다시로 배불러버렸어요
세심촌 속초한우전문점,소고기구이,,영업 중,4.46,999+,나름 기념일이라 소고기 먹으러 왔는데 너무 맛있어요!육회도! 진짜 신선하고 맛있어요,"매장도 깨끗하고 직원분도 너무 친절해요 등심, 돼지갈비 둘다 아이들이 잘 먹네요^^",먹어본 한우 중 손에 꼽을 정도로 맛있었어요! 진짜 살살 녹아요. 번창하세요 !
한성칼국수,한식,,브레이크타임,4.46,999+,속초가면 꼭 들리는 장칼국수 맛집입니다. 바로 들어가서 음식 빨리나온적 10년만에 처음인듯요ㅋ,"장칼국수, 칼국수 모두 너무 맛나요! 양도 많고 셀프 시스템도 좋네요!",오우 장칼국수가 궁금하기도 하고 후기가 좋아서 속초 여행갔을 때 찾아갔는데 소문대로 맛있어요!굿굿
너울집,"카페,디저트",,영업 중,4.45,999+,"맛있음 친절함 가성비 < 디저트, 레몬에이드 모두 깔끔 >",눈 쌓인 카페 넘 이쁘네요. 쑥라떼 많이 달지 않고 뜨끈한게 추위에 언 몸을 녹여주기 딱 좋았어요.,너울집 카페 이뻐요. 맛나요. 친절해요 쿠키도 맛나요. 많이 파세요. ㅋㅋ
아바이회국수,국수,,브레이크타임,4.44,999+,오징어 순대 진짜 맛잇다. 그것만 포장해먹어도 가치잇는 소중한 가게.,세꼬시회국수랑 덮밥주문했어요! 아침 9시20분쯤 방문해서 1시로 예약하고 12시 50분쯤 입장했어요!,"두명이서 회국수, 회덮밥, 오징어순대 먹었는데 양이 많아서 오징어순대만 먹다가 포장했어요."
구구집,생선회,,영업 중,4.43,999+,리얼로컬맛집 추천 오랜만에 물회 먹으러 갔는데 너무 만족스러웠어요! 인생 물회 저장입니다,속초에서 물회+성게비빔밥 맛집은 구구집이라고 해서 다녀왔는데 빨간 간판 구구집으로 유명하더라고요!,속초와서 섭국 처음 먹어 봤는데 진짜 너무 맛있어요! 너무너무 완벽합니다 속초 맛집 추천
가보오토종닭,중식당,,영업 중,4.42,999+,같이 간 친구들과 아이들 모두 만족한 가보오 토종닭 런치 메뉴입니다. 감사합니다.,돌짜장 유명해서 먹으러갔어요 1시간20분 기다려 입성! 와 사람들 엄청 많네요,와 점심에만 하는 돌짜장에 탕수육 먹었어요 짬뽕 궁금해서 속초여행오면 또 갈 것 같아요!
고궁회관 속초본점,한식,,영업 중,4.42,999+,너무너무 맛있어요! 생선 조림 양념 진짜 맛있고 생선도 너무 많아오! 매운 갈비찜도 진짜 맛있어오!,처음 방문했을 때 생선모듬조림을 맛있게 먹어서 재방문했어요 이번에는 가오리조림 3인 주문했어요,"가오리찜으로 유명한 ㅇㅁㄴ만가다가, 친구추천으로 고궁와봤어요 감자잘안먹는데 양념속 감자넘맛나서골라먹었어요"
스테이 오롯이,"카페,디저트",,영업 중,4.41,999+,속초에 오면 잊지않고 늘 커피. 음악. 햇살. 구름과 함께 시간을 보내는 제가 좋아하는 곳 입니다.,돌담에서 사진찍으려는 커플들이 많아서 결국엔 기다리다 못찍고옴 커피는 신맛 안나고 맛있어요,"주차도 편하고 카페 구조가 재밌네요. 바닐라라떼, 자몽티, 티라미슈 다 맛있어요."
티각태각 속초점,한식,,영업 중,4.41,999+,모듬 세가지 골라 한봉지 만원. 맥주안주로 짱입니다,"연근, 고구마, 황태부각 구입. 한봉지 만원 시식용 먹어본 후 3종 고르면 담아주시네요.",우엉이랑 연근 노랑고구마 섞어서 샀는데 집에 오자마자 맥주랑 순삭. 더사올걸. 맛있습니다^^
감나무집감자옹심이,한식,,영업 종료,4.41,999+,맛집이라해서 줄서서 먹었는데.옹심이가 다른지역은 알로나오는데 여기여긴 수제비씩으로 나와 먹는식감이 좋았어요,어릴때 엄마가 해주시던 옹심이 맛이 그리워 강원도에 온김에 제일 유명한 감나무집 옹심이에 방문했습니다 !,속초하면 떠오르는게 감자 옹심이인데 여기가 원조라서 그런지 맛있었어요!
우동당,일식당,,영업 중,4.41,999+,우동도 맛있고 돈까스는 더 맛있어요 아들과딸과 며느리랑 갔는데 또 가고싶네요,우리가족 최애 우동 맛집이에요^^면발이 쫄깃하면서 부드러워서 맛있어요,"면발 진짜 쫀득하고 맛있어요. 카레밥, 면 모두 한 번씩 리필가능합니다."
콩서리,두부요리,,영업 중,4.41,999+,얼큰순두부 맛있네요^^ 여행 왔다 아침 해장 잘하고 올라갑니다,속초 오면 안들리면 서운한곳 기본 반찬도 맛나고. 와 고등어 구이를 딱! 순두부는 맛이 기본,속초 외곽에 있는 순두부음식 전문점으로 여러 반찬과 함께 나옵니다. 순두부 자체는 맛있고 추천합니다.
공가네감자옹심이 속초점,한식,,브레이크타임,4.41,999+,속초사는지인이 감자옹심이여기가젤맛있대서옴ㅋㅋㅋㅋ고소하니쫀득하고소화잘되는맛!김치랑도조화가좋음!ㅋㅋㅋ,강원도에 왔으니 옹심이 꼭 먹어봐야 한다는 친구들과 함께 찾은 공가네 속초점입니다.,"속초 가족모임으로 어머님,큰시누,큰형님부부.우리부부가 갔어요. 감자옹심이 너무맛있고 반찬도 맛있네요."
옛북청아바이순대,"순대,순댓국",,영업 중,4.41,999+,아바이 순대 포장해 와서 먹었어요. 맛있어요! 순대더 맛있고 함께 주신 반찬? 도 맛았었어요!,아바이 순대 먹어보러갔는데 아바이순대도 기대했던것만큼이나 맛있었고 성게비빔밥 완전 별미에요,간장새우밥도 맛있었고 물회냉면 완전 제스타일이었어요 사장님도 친절하시고 가게도 청결해서 좋더라구요
어느멋진날카페,"카페,디저트",,영업 중,4.4,999+,깔끔한 인테리어에 속초아이뷰 카페에요. 궁디 팡팡 하면 흔들흔들 귀여운 푸딩 솜사탕 딸기라떼도 맛있어요.,귀엽고 예쁘기만 한 게 아니구 커피도 꼬숩고 푸딩도 달달쫀득?하니 맛있어요.,푸딩 넘 귀여워요 소금커피는 크림이랑 같이먹으니까 넘맛나맛나고 에그타르트 따듯하고 보들보들 바삭 맛있어요
김영애할머니순두부 본점,두부요리,,영업 종료,4.4,999+,"단일메뉴 순두부. 깔끔한반찬. (오이무침,황태무침,청경채,배추김치,. 군더더기 없이 아주 깔끔하네요.",엄마추천으로 먹은 순두부! 시간을 잘 맞춰간거건지 주말 아침이었는데 대기없이 들어갔어요,강원도 여행오면 아침으로 항상 먹는곳이에요! 순두부 단일 메뉴로 승부 보는곳!
해돋이 한우곰탕,"곰탕,설렁탕",,영업 중,4.4,999+,반찬 깔끔하니 맛있네요. 한우곰탕과 왕갈비탕 배불리 먹었어요.,고기 부드럽고 깔끔한 국물맛. 완전 좋음.^^ 그바람에 순삭해서 사진은 다먹고 찍었네요.ㅎ,속초 여행와서 너무 추워서 따뜻한 곰탕 먹었어요! 놀러오시면 뻔한 물회집들 말고!
베이커리 가루,베이커리,,영업 중,4.39,999+,속초 놀러갔다가 우연히 발견한 빵집이었어요 브라운 브레드 정말 맛있어요,엄마 생신여행가서 찾은 베이커리 맛집으로 검색해서 갔는데 찐 맛집ㅋㅋ그러나 이빵도 겁나 촉촉함ㅎㅎ,엉덩이빵은 갠취가 아니어서. 근데 이 레몬 파운드가 맛있었어요.
평강막국수,막국수,,영업 중,4.39,999+,"메밀막국수, 회막국수, 수육 소짜 먹었습니다 회막국수가 정말 맛있어요",수육은 첨 먹어보는데 너무 맛있네요! 오이 밑에 가자미식혜가 있는데 오이와 함께 싸먹음 너무 맛있네염!,명태로 만든 회가 추가된 회메밀막국수 회가 맛있다. 별미다.
원조동해순대국,"순대,순댓국",,영업 중,4.38,999+,블루리본 맹신자라 바로 입장했숩니댱 순대국밥에 순대가 끝도 없이 나와요 한 9개 나온 거 같아요,"소머리국밥,순대안주 시켜서 나눠 먹었어요 순대 간이 좀 아쉬웠지만 맛있었습니다",오징어 안좋아하는데 오징어아바이순대 개찐맛있음!
조개상회 본점,조개요리,,영업 중,4.37,999+,주말 저녁 웨이팅 없이 바로 창가에 앉을 수 있었어요! 삼합 메뉴 정말 맛있게 잘 먹었습니다^^,조개구이3단이랑 전골 먹었는데 맛있었어요 재료도 신선하고 ! 만족입니다 !,바다보면서 조개구이 먹고싶어서 방문했습니다!너무 행복하네용
봉브레드,베이커리,,영업 중,4.37,999+,정말 봉브레드는 사랑입니다. 신나게 퇴실하자마자 달려왔습니다! 갓나온 명란바케트는 천국의 맛이었습니다!,다시 오픈해서 너무좋아요 최애빵집중 하나 봉브레드!,재오픈했다는 소문 듣고 다시방문 했어요. 봉브레드 마늘바게트는 역시 최고네요
속초해물칼국수,"칼국수,만두",,브레이크타임,4.37,999+,낚지보쌈 꼭 드세요. 존맛 칼국수도 해장에 좋아요! 다음에 속초오면 또 오고싶어요.,해장하기좋은칼국수 맛도 있고 애들 좋아하는 돈가스도 있어요,고기가 맛있네요 다음엔 낙지보쌈 꼭 먹어볼기요
옛날수제비,"칼국수,만두",,브레이크타임,4.37,999+,장칼국수 손칼국수 둘 다 맛있어요! 배추김치는 너무 시고 무생채는 맛있어요!,칼수제비 맛있었거든 요 땡불앞에서 수제비 뜨는모습 인상적이예요,포장했는데 친절하게 말씀해주시고 칼국수 육수가 양이 무지 많아요^^
속초생대구,"해물,생선요리",,브레이크타임,4.36,999+,생대구탕 국물이 시원하고 대구가 넘 맛있었어요! 나중에 부모님이랑 같이 와도 좋을 것 같아요,"친구들이랑 여행 갔다가 속초생대구 상호가 눈에 띄어서 들어갔다,생대구탕4개,생대구전1개,소주 주문했다.",생대구 진짜 신선하고 비리지 않아서 좋았어요 특별히 양념이 없지만 복지리처럼 맑고 깔끔한 맛입니다
감자바우,한식,,브레이크타임,4.36,999+,10시에 오픈한다기에 10시전에 도착했더니 3팀 대기하고 계시더라구요 감자옹심이 자연의 맛입니다.,쟁반국수에 감지옹심이 감자전까지 모두 맛있는. 기다릴만한 가치가 있는 집이에요.,너무 맛있게 먹었습니다 옹심이도 국물도 감자감자한 맛이에요 김치도 아주 맛나구요. 속초오면 꼭 들릴거에요.
코끼리분식,종합분식,,영업 중,4.36,999+,"생활의달인 꽈배기맛집 코끼리분식에서 꽈배기, 고로케, 팥찹쌀도너츠, 떡볶이 포장해서 맛있게 뇸뇸","전 꽈배기보다 고로케 좋아하는데, 여기여긴 꽈배기가 더 맛있었네요 ㅎㅎ 순대 찰기도 제대로! 잘 먹었습니다",꽈배기랑 도너츠 따뜻할때 먹었으면 더 맛있었을거 같아요 포장해서 식었는데도 바삭하고 맛있더라구요!
해녀전복뚝배기,전복요리,,영업 중,4.36,999+,전복해물뚝배기랑 전복죽 먹으러 엄청 서둘러 방문! 결국 서두른 보람 있었음!,전복뚝배기와 전복죽 먹었어요. 리뷰보고 찾아왔는데 만족합니다. 싱싱하고 맛있어요. 친절까지 하네요.,속초놀러가서 아침에 항상 해물라면만 먹다가 이번엔 건강하게 먹어보고자 방문한 해녀전복뚝배기!
만석찜가,"해물,생선요리",,영업 중,4.36,999+,"속초에서 해물찜 먹고싶으면 들리는 곳이에요 문어도 싱싱하고 사이즈 크고, 해물도 다양하게 들었어요",맛있어요 추천받아 왔는데 만족스럽습니다! 2인해물찜 양도 많고 적당해요.,생문어전복찜이 유명하다고해서 찾아간 속초현지인추천 맛집이었는데 진짜 속초맛집 인정이에요 ㅎ ㅎ
장터순대국,"순대,순댓국",,영업 중,4.36,999+,아바이 순대와 누룽지 오징어 순대도 같이 나왔는데 처음 맛 봤는데 진짜 맛있게 먹고 왔습니다.,"소머리국밥, 오징어순대 먹었는데 맛 깔끔하고 괜찮았음.",뽀안국물맛이 진하고 맛있어요 고기랑 순대 양 너무 많아요 엄청 배불리 잘 먹었습니다
엄지네포장마차 속초점,조개요리,,영업 중,4.36,999+,꼬막 포장해서 먹었어요! 맛있고 양도 많아서 실컷먹었습니다,육회넣는순간 너무 놀람 진짜 맛있음 꼬막무침 밥3개 추가 싹 비움 굳굳굳!,너무 좋아하는 엄지네 꼬막무침인데. 1년만에 먹은것 같아요. 정말 명불허전 입니다!
하누정원 속초청초호본점,소고기구이,,영업 중,4.34,999+,고기 맛있어요 좋아오 주차장 넉넉합니다. 항상여기 와요,고기가 마블링이 좋아서 부들부들 부드러유서 맛있어요. 고기도 구워주셨어요. 굿굿 여행와서 맛있게 먹었습니다,원래 리뷰같은거 잘 안남기는데 여기는 진짜 찐 맛집이라 안남길수가 없어요 고기가 입에서 녹아요 감사합니다
그리운보리밥,보리밥,,영업 중,4.34,999+,여행가면 정겨운 밥집이 그리울때가 있더라구요 좋아하는 청국장 그리고 보리밥.한상차림 좋았습니다,청국장 맛있게 잘 먹었습니다 나물도 다 맛있었어요 보리밥에 참기름과 고추장 정말 최고였어요 ^^,"유명하다고 해서 왔는데 진짜 모든 반찬, 나물, 찌개가 깔끔하고 맛있어요! 참기름도 유기농쓰시고 ㅎㅎ"
아바이감자옹심이,한식,,영업 중,4.34,999+,들깨감자옹심이 먹었는데 고소하고 옹심이 식감이 정말 좋아요,속초중앙시장 가는길에 아바이감자옹심이 간판이 눈에 띄어 들어가보게됐어요 속초감자옹심이 맛집입니다!,정통1 들깨1 시켰는데 둘 다 맛있었습니다 ! 속초여행에서 옹심이 드시는 분들께 추천 드려요
브릭스블럭482,"카페,디저트",,영업 중,4.34,999+,속초올때마다 들려서 다른케이크들도 먹어봐야겠어요,강릉 여행 가서 숙소 사장님께서 추천해주셔서 방문하게 됐어요! 커피가 꼬숩꼬숩해서 다 마셨어요 !,부모님도 커피맛있다고 잘드셨네요 적게일하시고 많이버세요
