가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
감성타코 강남역점,"멕시코,남미음식",,영업 중,4.41,999+,감성타코 넘좋아해서 합정역점 자주다녔었는데 강남역점도 있길래 다녀왔어용 ㅎㅎ 넘맛있어요,감성타코! 이집은 다른메뉴보다도 특히 타코가 진짜 맛있어요,강남에서 타코하면 감성타코! 맛도 너무 좋고 직원분들도 친절하시고 서비스도 좋았다는요!
미도인 강남,일식당,,영업 중,4.4,999+,"너무 맛있게 먹었어요 ! 스테이크도 부드럽고, 덮밥에 간도 잘 되어있습니다ㅎㅎ",친구랑 소바가 먹고 싶어 찾아보다가 방문했어요! 매장도 깨끗하고 넓었고 편했습니다:),대창곱창덮밥과 트리플스테이크 맛있어용 다음에 다른 덮밥도 먹어보고 싶어요 한끼 맛있게 먹었습니다
파머스포케 강남역점,"다이어트,샐러드",새로오픈,영업 중,,,오픈한지 얼마 안된날 수비드닭가슴살포케 먹고 반해서 오늘 또 왔습니다 ㅎㅎㅎ,다른 샐러드집으로가던 저를 붙잡은 포케집! 깔끔하고 맛잇을것같아요 잘먹겠습니다!,너무 친절하시고 키토 김밥도 같이 먹을수 있어서 좋아요
플랫나인,바(BAR),,영업 중,4.79,999+,3년만에 재방문했는데 여전히 그대로 넘 좋았어요 그리구 논알콜 솜사탕 칵테일도 넘 이뻤구요 또 올게요,크로플 아이스크림과 독특한 칵테일이 너무 매력적이었어요,남편 생일 기념으로 방문했어요! 까르보나라는 꾸덕하고 짭쪼롬 고소해서 너무 맛있었어요! 담에 또 오려구요
82올리언즈 강남점,양식,,영업 중,,999+,신논현역 파스타 맛집 82올리언즈 강남점 너무너무 추천해요! 남자친구랑 둘다 대식가인데 ㅋㅋㅋㅋ,강남에서 양식 먹고싶을때땐 여깁니다! 찐 미국의 맛을 느낄수있어요! 역시 대표 메뉴들 넘 맛있네요.,몬테크리스토 샌드위치랑 뇨끼 먹었는데 둘다 넘 맛있어요 특히 몬테크리스토!
쿄코코 신논현점,일식당,,영업 중,,999+,"쿄코코 넘 맛있어요. 혼밥 혼술하기 딱 좋구요 스톤함바그, 버터진갈비, 기린생맥주 강추합니당",신논현역 덮밥 맛집 쿄코코 일본풍 인테리어도 맛도 플레이팅도 너무 좋았던 곳입니다!,신논현역 덮밥 맛집 쿄코코 대표 메뉴들이 맛있다는 소문을 듣고 방문해보았다.
수지상회 강남1호점,요리주점,,영업 중,,999+,아늑한 분위기에 직원들이 친절했고 칵테일 종류가 다양했어요. 양도 엄청 많아서 가성비가 좋아요,차돌듬뿍짬뽕탕이랑 수코바숯불치킨이 맛있어요! 매콤하고 생각보다 양도 많아서 맛있게 잘 먹었던거 같아요.,안주도 맛있고 술도 다양한 수지상회 처음왔는데 조개탕 국물마시자마자 반했어요
성씨네삼장집 강남역점,돼지고기구이,,영업 중,,131,"여기여긴 진짜 고기도 맛있고 볶음밥도 맛있고 찌개도 맛있고 반찬도 맛있어요,",강남 냉삼 맛집이에요 구워 나오는 냉동삼겹살 따로 구울 필요 없이 바로 먹을 수 있어 좋아요,강남역 데이트 갔다가 예약방문한 성씨네삼장집 강남역점 입니다! 냉삼&냉면 조합이 꿂맛이더라구요!
진구곱창,"곱창,막창,양",,영업 중,,999+,곱창모듬 구이 맛있어요 마무리로 볶음밥 필수!,"강남에서 가성비 맛 둘다 완벽한 곳 드문데, 곱창 생각날때마다 가야겠어요. 굳",강남역 맛집 찾다가 알게된 곱창집! 마지막 볶음밥은 진짜 꼭 먹어야하는데! 후회 안하셔요!
느린마을양조장 강남점,요리주점,,영업 중,4.33,999+,단체회식강남술집으로 유명한 느린마을양조장 강남점에서 막걸리랑 안주 뿌수고 왔습니다!,차돌박이도 듬뿍 얹어 주셨는데 고기가 고소하니 담백해서 떡볶이와 잘 어울렸어요,막걸리랑 안주 모두 너무 맛있는 곳! 막걸리 봄하고 여름이 너무 맛있구요.
임병주산동칼국수,"칼국수,만두",,영업 중,4.35,999+,"교외 다녀오는 길에 우연히 방문했습니다. 평양왕만두, 칼국수, 콩국수 주문했습니다.",콩국수 맛집이네요 면발 쫄깃하고 콩국물이 부드럽고 진해요 칼국수랑 만두도 맛있어요 잘 먹고갑니닷!,칼국수도 맛있지만 콩국수가 진짜 엄청납니다 여름에 시원하게 먹기 좋네요
스폰티니 강남점,피자,,영업 중,4.38,999+,피자가 부드럽고 촉촉하니 너무 맛있어용 처음먹어보는데 너무 맛있어요,피자+맥주 조합을 좋아하시는 분들은 여기여길 꼭 추천드립니다.,마르게리따도 맛있고 풍기도 디른 피자도 다 맛있고 같이 판매하는 레드와인도 적당히 달아서 맛있습니다
농민백암순대,"순대,순댓국",,영업 중,4.51,999+,다른 순댓국집과 다르게 국물이 확실히 맑고 맛있게 맵칼해요,"순대국 정말 맛있어요 국물, 순대, 고기, 반찬까지 뭐하나 빠지는거 없이 맛있습니다.","국밥을 특으로 사서 아들이 배터지게 먹고, 신랑은 퇴근해서 술안주로 먹고 있어요. 아웅 행복합니다,"
뽕족 강남역본점,"족발,보쌈",,영업 중,4.53,999+,강남역 족발맛집. 5시 반쯤 웨이팅 없이 들어갔는데 6시 넘자마자 사람 꽉차는거보고 깜짝놀랐네요.,인생 족발 뽕족 선릉에서도 맛있게 먹었는데 강남역도 역시 넘넘 맛있었어요ㅎㅎ,강남역 방문했다가 모듬족발 대자 포장했어요! 불향나는 양념도 부들부들 일반도 여전히 맛있네요
퍼스트커피랩 강남점,"카페,디저트",,영업 중,,999+,와 여기는 꼭 가보세요! 강남 카페 중에 제일 예쁜 거 같아요. 디저트도 예쁘게 생긴만큼 맛있어요.,독특한 컨셉이 있어요 카야소금빵샌드위치가 맘에들었어요,이번에 새로나온 체리 바스크랑 에이드 한잔 주문했어요 매장도 넓고 음료랑 디저트도 맛있었어요
다몽집 신논현본점,"육류,고기요리",,영업 중,4.68,999+,할머니 된장찌개 완전 밥도둑입니다! 네이버 예약하고가서 웨이팅없이 바로 입장했습니다.,인생 항정살 맛집 등극! 여기 진짜 맛있어요 재방문 하고싶네요,등심덧살에 항정살 주문했어요 ! 고기가 촉촉하니 너무 부드럽고 맛납니다 된장찌개도 꼭 주문해서 드세요
파파야리프 강남점,아시아음식,,영업 중,4.5,999+,직원분들도 친절하시구 메뉴도 다양하네요 쌀국수도 맛있는데 비빔분짜도 진짜 괜찮네요,인테리어도 특이하고 깔끔하네요 쌀국수 국물 진짜 시원하고 맑아서 양도 많은데 애들 둘이 다 먹었네요,매운쌀국수가 적당히 매콤해서 좋고 뿌팟퐁커리가 부드러워서 맛있습니다. 밥도 많이 줘요!
썸띵어바웃커피,"카페,디저트",,영업 중,4.42,999+,강남역 테라스카페는 여기루! 저는 초당옥수수치즈케이크랑 솔티콜드브루를 주문했습니당! 그냥 최고져?,강남역에 위치한 카페 썸띵어바웃커피입니다. 데이트 혹은 소개팅 장소로도 추천드립니다.,휘낭시에 맛집 프랑스 고메버터로 풍미가 깊어요 시간 차
노랑저고리,한정식,,영업 중,4.35,999+,"회, 보쌈, 탕, 고등어구이 등 구성원 취향 맞춰 주문하기 딱이에요 주안상코스 추천합니다",입에 맞는 음식이 많아서 수저젓가락이 바쁘게 움직였어요. 주인장의 진심어린 커피 서비스는 덤이에요.,강남역 보리굴비한상 가성비 좋아요 보리굴비 크기는 실하고 으른들이 특히 많이 찾는 강남역 맛집이에요
강남77,"맥주,호프",,영업 중,4.35,999+,치즈닭갈비 존맛! 주먹밥까지 나와서 혜자 메뉴예요ㅋㅎㅎ,분위기 좋고 안주 다 맛있어요 맥주도 엄청 시원하게 나오고 한번씩 게임도있어서 사이다도 받았습니다,분위기도 너무 좋고 가성비 술집이예요! 너무 맛잇고 회식하기도 좋은 장소예요!
꼭그닭 강남점,"맥주,호프",,영업 중,4.45,999+,치킨이 진짜 너무너무 맛있어가지고 깜짝 놀랐어용! 완전 인생 치킨집입니당 ㅎㅎ,강남역에서 치킨 or 맥주 드시고 싶은분들은 무조건 꼭그닭강남점 가세요,맛잇는 수제 맥주와 빠네 치킨을 맛볼 수 있어요. 맥주 종류가 정말 다양해서 좋습니다.
마녀주방 강남점,이탈리아음식,,영업 중,4.46,999+,지하에 있은 마녀주방으로 분위기도 독특하고 파스타도 괜찮았어요!,365일 할로윈 컨셉이 재미있는 마녀주방! 만우절 이벤트 움파룸파파스타 재밌고 맛있었어요.,"파스타도 맛있고, 피자도 맛있고 가성비도 너무 좋아요"
강탄 강남역점,요리주점,새로오픈,영업 중,,,"강탄 강남역점 방문했는데 맛도리 안주 가성비 미쳐서 맥주 점 많이 마시고 옴,",가성비 좋은 시원한 홍합탕 직원분들도 친절,
소보키 강남점,요리주점,,영업 중,,999+,매장도 정말 깔끔하고 음식도 너무 맛있고 좋았어요! 진짜 깔끔한 한식주점 느낌! 최고최고!,베이컨치즈감자채전이 너무 바삭하고 맛있고 소스도 찰떡이에요 차돌떡볶이도 정말 맛있어요 또 오고싶습니다,미나리 육개전골은 여기 시그니처 인듯? 육개장 맛이 풍부하고 고소했어요
치스타리에 강남역점,"스파게티,파스타전문",,영업 중,,999+,치킨과 파스타라니. 신박한 메뉴! 근데 너무 잘 어울리네요?!? 투움바 진짜 맛있어요.,어디서도 맛볼수 없는 치킨파스타! 직원분도 친절하셔서 기분좋게 점심 먹고 왔어요,동네에 이렇게 맛있는 파스타 맛집이 있었는데 왜 몰랐죠 이제라도 알게 돼서 다행!
강남명전,"전,빈대떡",,영업 중,4.31,999+,치즈감자전 짜파게티 맛있옸오요 하이볼도 잘먹었숩니당!,인테리어가 좋고 이야기 나누기 좋아요! 감귤 하이볼 추천,"유명한 강남역 술집 이자카야 느낌처럼 요리들도 다양했어요 바쁘실테텐데, 고생많으십니다"
화기애애,"육류,고기요리",,영업 중,4.64,999+,숯 넘 좋고요 고기 맛나게 호로로록 먹고 나왔어요. 후후후 다음에 또 방문하겠습니다.,친구들이랑 왔는데 배부르고 맛있게 잘 먹었습니다 계란찜 김치찌개 동치미국수 비빔국수까지 갓벽,강남 갓성비 고기집이에요 고기모듬 먹었는데 항정살 삼겹살 목살 다 맛있어요!
더플라잉팬 레드,양식,,영업 중,4.37,999+,간단한 브런치 먹기좋아요. 버섯 매콤 크림파스타 약간 떡볶이 느낌이랄까 신기해요.,메뉴 너무 맛있고 야외분위기 너무 좋아요 맥주도 시원하고 맛있네요! 굳!,부라타치즈샐러드랑 관자들어간파스타 너무 신선 하구 맛있었어요 먹다가 화이트와인추가주문했네요
사람사는이야기 강남점,요리주점,,영업 중,,999+,직원분들이 넘. 친절하세요 안주 버팔로잉과 감자튀김!샐러드도 함께 나외 좋아요,"매일 와도 좋은 강남 사사이 저희 맨날 여기 오자나여 해물파전, 에그인헬 꼭 드세요","서비스 채고 , 강남 술집 찾다가 발견한 곳인데 안주 시키는 것 마다 넘 맛있어요 !"
오마카세 오사이초밥 강남역점,"초밥,롤",,영업 중,,999+,강남역초밥 오마카세 오사이초밥 강남역점에서 다양한 코스요리 먹었어요,"매일 와도 질리지 않은 맛의 오사이초밥 인데요,",맛있어요! 같이간 동생이 우니가 너무 신선하고 맛있다고 행복해했습니다.
우대포 강남역점,소고기구이,새로오픈,영업 중,,,강남역 고기집 우대포에서 깍뚝꽃살과 양념 소갈비살 먹었어요! 고기 질도 정말 좋고 맛있어서 만족합니다!,"양념소갈비살, 된장찌개, 비빔냉면 전부 다 맛있어서 추천 남기고 갑니다",강남역고기집 찾으신다면 우대포 강남역점 방문해보시기보시길바래요! 여름 별미로 꼭 드세요 번창하세요 !
따롱이훠궈 강남점,중식당,,영업 중,,999+,따롱이훠궈는 처음 가봤는데 여자 7명이 가서 34만원 정도 시켰어요.,여기 사장님도 진짜 친절하시고 맛있어요 인테리어도 깔끔한데 현지맛이라서 나만알고 싶은 훠궈집입니다ㅎㅎ,구성도 괜찮고 훠궈집 중에 가성비 제일 괜찮은거 같아요! 사장님도 무지 친절하십니다
후추포인트,양식,,영업 중,,999+,초당시즌이 아니라서 그런지 초당맛은 덜했지만 그럼에도 충분히 맛있는 뇨끼였어요 또 생각나네여.,그만큼 너무 좋아요 초당옥수수뇨끼는 특히 집에와서 생각날정도로 맛이있더라구요 추천해요,초당뇨끼 부라타치드샐러드 새우파스타 다맛있어용
고메램 강남점,양갈비,,영업 중,4.59,999+,생일기념으로 방문했는데 너무 만족스러워요! 고기도 맛있고 ㅎㅎㅎ,남자친구가 제일 좋아하는 강남의 양갈비 집이라네요! 처음 플레이팅부터 색이 다채롭고 좋네요,분위기좋고. 고기질도 좋고 무엇보다도 너무 친절하세요 친절하세요
올바른스시 강남역점,"초밥,롤",,영업 중,4.61,999+,저희는 강남에서 초밥먹을때땐 무조건 올바른스시로 옵니다!,혼밥하기 좋고 맛있어요.! 평이 좋아서 방문했는데 깔끔하고 친절하시고 무엇보다 초밥이 맛있습니다^^,초밥 메뉴 구성이 다양해서 좋아요 ㅎㅎ그리고 재료도 신선한 거 같고 엄청 맛있어요 ㅎㅎ
강남교자 본점,"칼국수,만두",,영업 중,4.36,999+,명동교자를 좋아하시는 어머니와 강남교자도 방문해봤습니다. 닭개장은 무난무난한 맛이에요.,명동교자 국물이랑 비슷하고 만두도 맛있어요! 김치가 덜 매워서 좋았어요,주말 낮술하기 딱 마늘김치가 은근 안주로 좋습니다 물론 교자 칼국수도 좋고요
서울주막 강남역1호점,요리주점,,영업 중,4.57,999+,강남역 룸술집인 서울주막 좋아요! 프라이빗하게 즐길 수 있는데다가 안주도 가성비있고 맛도 좋네요,차돌떡볶이랑 양념치킨 둘 다 너무 마싯어요 다음번에는 다른 안주들도 먹어보고 싶어요,파티룸도 잘 꾸며져있어서 신논현룸술집 중에서 생일파티하기에는 서울주막이 딱입니다
나이스샤워,일식당,,영업 중,4.51,999+,미미! 역시 믿고 먹는 나이스샤워예요 특히 에비텐동 여기 따라올 곳 없어요!,튀김있는 덮밥. 시원한 맥주 이벤트까지. 사장님 넘 친절하시네요,텐동 먹고 설사 안한 유일한 집 진짜 맛있어요
오봉집 강남역점,한식,,영업 중,,999+,"간만에 오봉집왔어요 메뉴조합이 미쳤어요 오봉스페셜시켰는데 낙지랑 보쌈, 막국수 다 맛있어요",점심식사하러 자주 와요 보쌈정식 진짜 맛있구 반찬으로 나오는 소세지도 무한리필이에요! 강추합니당,음식이 정말 맛있고 점심으로도 저녁으로도 손색없네요 매콤한 낙지 볶음 먹고싶을 때 강추합니다.
철길부산집 강남역점,요리주점,새로오픈,영업 중,,,분위가 너무 좋고 술이랑 안주도 맛있어요! 오뎅탕이랑 연어사시미 조합이 좋아요,타다끼가 맛있고 분위기도 좋고 단체모임 데이트하기 너무좋습니다 강추입니다,새로생겨서 깔끔하고 매장도 넓어서 좋아요 ! 어묵도 맛있고 연어도 맛있고 분위기도 좋고 귣귣
피그인더가든 강남점,"다이어트,샐러드",,영업 중,4.32,999+,,,
육미안 강남점,소고기구이,,영업 중,,999+,본갈비랑 치즈 폭탄 본갈비 볶음밥 먹었는데 양념이 맛있어요!,역시 강남 맛집이네요! 우선 고기가 너무너무 맛있고 플레이팅도 예뻐요 역삼동 고기집으로 너무나 추천합니다,황제갈비살 다 구워져 나오니까 편하고 넘넘 맛있어요.! #체험단
창고43 강남점,소고기구이,,영업 중,4.45,999+,"외국에서 온 손님과 함께 방문했습니다. 육회와 된장말이, 볶음밥도 후식으로 훌륭했어요. 추천합니다!",법인카드로 먹으면 더 맛있는 소고기 ㅋㅋ 넘 맛나게 잘먹고 갑니다 ㅋㅋ,분위기 인테리어 거기다 친절하기까지한 창고43 적극 추천합니다. 안심 정말 정말 맛있어요
하우마라탕,중식당,,영업 중,4.53,999+,마라탕도 맛있지만 밥이 제공되서 마라샹궈로 먹으면 더 꿀맛이고 맛있습니다.또 가고싶네요.,동네 마라탕집에 없는 토핑 싹 다 있습니다. 근데 강남역마라샹궈 하우마라탕은 걍 다 있더라구요!,음식이 너무 맛닛어요 뚸바로우먹다가 중국식탕수육먹으니 맛잇네요 꽃빵튀김도 맛잇어요
레뽀드라라 강남점,카페,,영업 중,,999+,비엔나 로얄 밀크티 한잔에 디저트로 스콘 먹었어요 스콘 휘낭시에 등 디저트도 많고 골라먹는 재미가 쏠쏠해요,수제 스콘이라 퀄리티가 좋네요 라즈베리잼스콘 리얼초콜릿스콘에 비엔나커피 먹었어요,스콘 맛집이에요! 포장을 너무 예쁘게 해주셔서 먹기 아까울 정도예요. 다음에 또 먹으러 가고 싶어요.
청류벽,막국수,,영업 중,4.25,999+,들기름막국수맛집이라서 먹으러와봐쏘요 근데 웬거걸 수육이 진짜 맛도리! 비빔은 살짝 매콤해서 넘 맛있었구요,웨이팅이 있는 곳이지만 6시쯤 가면 바로 들어갈 수 있어요. 보쌈이랑 들기름막국수 다 맛있어요,들기름 국수 먹었어요. 평냉처럼 슴슴한 맛인데 감칠맛 나는 맛있는 국수였어요.
7번방 강남점,요리주점,,영업 중,,,순살매운치킨 너무 맛있어요 ㅋㅋ 호프집인데 치킨맛집같아요 ㅋㅋ 룸으로 되있어서 좋아요 ㅋㅋ,매장 분위기도 너무너무 좋고 특히 순살치킨 안주가 진짜 맛있어용 하이볼도 딱 제스타일,프라이빗한 공간이여서 친구와 둘이 오붓하게 술마시기 좋았어요 안주도 맛있고 하이볼도 짱 맛있어요!
아올,양식,,영업 중,4.74,999+,분위기도 좋고 너무 맛있어요 우대갈비도 맛있고 파스타도 맛있구요 탕수육은 돈까스 같았어요,남자친구와 1주년 기념으로 왔습니다 우대갈비와 차돌솥밥의 조합이 너무 좋아요 강력추천 예약 필수인듯하구요,아올 두번째 방문인데 너무 맛있게 잘먹었습니다 맛도 너무 맛있었고 뇨끼랑 우대갈비 짱맛있습니다!
화로로 강남본점,"육류,고기요리",,영업 중,4.54,999+,점심세트로 비빔밥+찌게 먹었어요 맛은 무난 합니다,삼겹살 맛이 기가막히네요 두께가 통통하다보니 먹을 때마다 육즙이 팡팡 터집니다 번창하세요 ^^,강남에서 가성비 좋고 퀄리티 좋은 삼겹살을 먹을 수 있는 곳입니다 재방문 무조건 예약입니다
육품,돼지고기구이,,영업 중,4.42,765,사이드메뉴 상콤달달 비벼국수 그리고 된장술밥은 꼭 시켜드세요! 다음에 또올게요,고기도 좋고 사이드메뉴들도 다 맛있어요,지나다가 들렸는데 고기진짜 맛있어요.삼겹살대박 조만간 또 갈꺼예욤!
쿠차라 삼성서초사옥점,"멕시코,남미음식",,영업 중,4.46,999+,쿠차라! 맛있어요 항상 치킨 부리또 먹어요ㅎㅎ 야채 신선하고 양 많고 맛있어요,힙한 멕시칸 푸드! 골라먹는 재미! 섞어먹는 재미! 분위기도 좋고 맛도 좋고 종종 애용합니다!,부리또 치킨+과카몰 추가했더니 부리또 단면이 제 주먹만해져서 흘리면서 먹었지만 ㅎㅎ
사유의서재,양식,,영업 중,,,"치즈휠 라구토마토 파스타, 콰트로 풍기크림 리조또, 글라스와인, 애플시나몬에이드 주문했습니다.",강남역에있는 식당은 크게 기대안하고 가는편이에요. 라구파스타랑 뇨끼가 짱이네용 ㅎㅎㅎ,바질크림파스타와 꽈뜨로풍기리조또 맛있게 먹었어요! 리조또는 풍기 향이 그윽해서 중독되는 맛입니다.
이춘복참치&스시 강남점,생선회,,영업 중,4.28,999+,점심메뉴 히레가츠동 먹엇어요! 양도 푸짐하고 같이 나오는 반찬이랑 먹으니 맛잇어요,따뜻한사케랑 같이 먹으니 더 맛났던거같아요 오픈시간에 들어가서 점심시간 전이였어가지구 조용하고좋았어요!,항상 맛있어요 히레까스랑 카레랑 다 먹을 수 있어서 좋아요
참치공방 강남점,생선회,,영업 중,4.32,999+,참치공방은 2016년에 오픈해 7개매장이 있는 대형 참치 무한리필 전문점입니다,스페셜코스로 시켰더니 참치 회뿐만 아니라 각종 반찬까지 무한리필돼서 좋았어요! 화장실도 깨끗해요,참치의 고소하고 기름진 맛을 원없이 즐기고 왔네요. 아주 맛있어요. 샐러드도 너무 맛있게 잘 먹었네요.
이자카야나무 강남역2호점,이자카야,,영업 중,4.35,999+,정말 너무 맛있어요 강남역 오면 항상 이자카야 나무 오는데 역시 꼬치도 주먹밥도 타코와사비도 끝내줘요,예약하고 와서 룸에서 먹었는데 아늑하고 너무 좋았어요! 명란크림우동 맛있어요!,사케 너무 좋아하는데 종류가 많아서 너무 좋았습니다 메뉴도 많아서 고르느라 시간이 엄청 지체되었네요ㅎㅎㅎ
강남 돼지상회 무한리필,돼지고기구이,,영업 중,4.63,999+,s세트 시키면 음료랑 냉면도 무제한인데 음료를 패트로 줘서 완전 대박입니다,우삼겹 된장찌개에 담궈서 먹으니까 느끼하지도 않고 맛있어요. 매장도 넓고 바닥도 미끄럽지 않아요.,고기도 정말 맛있었고 치킨도 정말 맛있습니다 따로 파셔도 될 정도입니다 !
고메스시,"초밥,롤",,영업 중,,,스시도 신선라고 우동 + 튀김 세트도 좋습니다! 무엇보다 묵은지가 너무 고소해서 생각나요,갓성비 맛집이예요. 초밥세트 저렴하면서 구성좋아보였지만 저희는 식사를 해서. 연어 광어사시미 주문했구요,강남 한복판에서 찾아보기 힘든 가성비 최고 스시집이에요 새우튀김도 맛있고 초밥도 괜찮았습니다!
크라프트카페,"카페,디저트",,영업 중,4.43,758,살이 무락무럭 자라는 맛. 팥빙수는 그냥 얼음이네요,"크로플 크기도 짱 커서 3명이서 넉넉하게 먹었답니다 과일가득, 아이스크림 넘 맛나요",빙수가 인절미가루 덕에 풍ㅁ부항고 너무 마시서여
베트남이랑,베트남음식,,영업 중,4.44,999+,사탕수수주스가 잇어 더 특별한.! 쌀국수가 진짜 그냥 프렌차이즈랑은 다른 현지맛이라 좋아요,벌써 몇년째 단골집 여기 말고는 다른데서 쌀국수 안 먹어요 찐 베트남 맛을 느끼고 싶으면 여기가 최고,강남 유명한 베트남 음식 전문점 찐맛탱이 추천 맛집 선택이 어려울때 가면 좋음:)
쉐이크쉑 강남대로점,햄버거,,영업 중,4.44,999+,2층까지 있는 쉑쉑버거 강남대로점! 재료는 신선 그자체! 쉑버거 먹었는데 만족스럽습니다ㅎㅎ,밀크쉐이크 맛집 쉐이크쉑버거 더운데 너뮤 시원하게 잘 마셨어요,스파이시 쉐이크쉑버거 완전 취저 고수가 들어가 있어서 느끼함을 콕! 잡아줘요.
